"Step","lr5e-4_timesteps2e6_2 - episode_reward","lr5e-4_timesteps2e6_2 - episode_reward__MIN","lr5e-4_timesteps2e6_2 - episode_reward__MAX"
"27","NaN","",""
"30","NaN","",""
"36","NaN","",""
"44","NaN","",""
"45","NaN","",""
"56","NaN","",""
"109","-156.8517528","-156.8517528","-156.8517528"
"127","-218.64749217857144","-218.64749217857144","-218.64749217857144"
"147","-215.11949425","-215.11949425","-215.11949425"
"185","-231.97120332558143","-231.97120332558143","-231.97120332558143"
"219","-246.4054813916667","-246.4054813916667","-246.4054813916667"
"247","-254.68415739189192","-254.68415739189192","-254.68415739189192"
"316","-255.8041314654378","-255.8041314654378","-255.8041314654378"
"317","-254.98128658256883","-254.98128658256883","-254.98128658256883"
"324","-253.55166830222225","-253.55166830222225","-253.55166830222225"
"355","-251.06819983984377","-251.06819983984377","-251.06819983984377"
"359","-249.97990366153846","-249.97990366153846","-249.97990366153846"
"389","-251.94376895517243","-251.94376895517243","-251.94376895517243"
"425","-252.3833020153374","-252.3833020153374","-252.3833020153374"
"428","-252.34480607902736","-252.34480607902736","-252.34480607902736"
"464","-250.95792459726025","-250.95792459726025","-250.95792459726025"
"504","-248.3311333382716","-248.3311333382716","-248.3311333382716"
"514","-247.46005379759035","-247.46005379759035","-247.46005379759035"
"528","-243.51797834965038","-243.51797834965038","-243.51797834965038"
"531","-243.08631409953705","-243.08631409953705","-243.08631409953705"
"633","-234.97430409737828","-234.97430409737828","-234.97430409737828"
"654","-234.54661252432433","-234.54661252432433","-234.54661252432433"
"663","-233.81540992198583","-233.81540992198583","-233.81540992198583"
"766","-228.1234032293853","-228.1234032293853","-228.1234032293853"
"770","-227.69549921609539","-227.69549921609539","-227.69549921609539"
"895","-219.8204019811558","-219.8204019811558","-219.8204019811558"
"906","-219.8997630446097","-219.8997630446097","-219.8997630446097"
"974","-215.36881499771428","-215.36881499771428","-215.36881499771428"
"985","-214.3537270124154","-214.3537270124154","-214.3537270124154"
"991","-213.7714347656951","-213.7714347656951","-213.7714347656951"
"1002","-213.2659954551495","-213.2659954551495","-213.2659954551495"
"1054","-210.0787406565445","-210.0787406565445","-210.0787406565445"
"1061","-209.9280013284823","-209.9280013284823","-209.9280013284823"
"1192","-203.5330362012809","-203.5330362012809","-203.5330362012809"
"1201","-202.87542664337568","-202.87542664337568","-202.87542664337568"
"1283","-199.80045645692567","-199.80045645692567","-199.80045645692567"
"1306","-198.56195080944488","-198.56195080944488","-198.56195080944488"
"1322","-197.9204343982011","-197.9204343982011","-197.9204343982011"
"1331","-197.64781042613637","-197.64781042613637","-197.64781042613637"
"1391","-194.9426329620743","-194.9426329620743","-194.9426329620743"
"1470","-191.6726174179431","-191.6726174179431","-191.6726174179431"
"1503","-190.6118588696581","-190.6118588696581","-190.6118588696581"
"1507","-190.50458923863636","-190.50458923863636","-190.50458923863636"
"1518","-189.82167406342495","-189.82167406342495","-189.82167406342495"
"1521","-189.63778979395218","-189.63778979395218","-189.63778979395218"
"1543","-188.81911663434903","-188.81911663434903","-188.81911663434903"
"1554","-188.75360848934707","-188.75360848934707","-188.75360848934707"
"1680","-184.64842304048068","-184.64842304048068","-184.64842304048068"
"1690","-184.28039544940287","-184.28039544940287","-184.28039544940287"
"1730","-183.06577535070508","-183.06577535070508","-183.06577535070508"
"1784","-181.5189744902077","-181.5189744902077","-181.5189744902077"
"1803","-180.93607682159626","-180.93607682159626","-180.93607682159626"
"1833","-179.98338516724337","-179.98338516724337","-179.98338516724337"
"1846","-179.49015697366914","-179.49015697366914","-179.49015697366914"
"1885","-178.47859984714447","-178.47859984714447","-178.47859984714447"
"1894","-178.27120180612815","-178.27120180612815","-178.27120180612815"
"1898","-178.2403394068927","-178.2403394068927","-178.2403394068927"
"1902","-178.0017344392679","-178.0017344392679","-178.0017344392679"
"1935","-177.5006308883442","-177.5006308883442","-177.5006308883442"
"1988","-176.0828607972472","-176.0828607972472","-176.0828607972472"
"2034","-174.84888392661497","-174.84888392661497","-174.84888392661497"
"2077","-173.79870318048532","-173.79870318048532","-173.79870318048532"
"2101","-173.44309148851147","-173.44309148851147","-173.44309148851147"
"2105","-173.31584313260217","-173.31584313260217","-173.31584313260217"
"2112","-173.16043726676602","-173.16043726676602","-173.16043726676602"
"2121","-172.9446410761622","-172.9446410761622","-172.9446410761622"
"2194","-171.49384814797136","-171.49384814797136","-171.49384814797136"
"2199","-171.32418502666667","-171.32418502666667","-171.32418502666667"
"2200","-171.35475423893382","-171.35475423893382","-171.35475423893382"
"2229","-170.77621013990608","-170.77621013990608","-170.77621013990608"
"2247","-170.37837624115457","-170.37837624115457","-170.37837624115457"
"2262","-170.07719030883032","-170.07719030883032","-170.07719030883032"
"2282","-169.7546030471828","-169.7546030471828","-169.7546030471828"
"2342","-168.22524543869815","-168.22524543869815","-168.22524543869815"
"2376","-167.99334410715855","-167.99334410715855","-167.99334410715855"
"2386","-167.77724763183213","-167.77724763183213","-167.77724763183213"
"2430","-167.0572755087945","-167.0572755087945","-167.0572755087945"
"2438","-167.00244665626334","-167.00244665626334","-167.00244665626334"
"2466","-166.18657538910014","-166.18657538910014","-166.18657538910014"
"2467","-166.23700309755068","-166.23700309755068","-166.23700309755068"
"2507","-165.71206520182724","-165.71206520182724","-165.71206520182724"
"2522","-165.6346252290549","-165.6346252290549","-165.6346252290549"
"2585","-164.76835870595335","-164.76835870595335","-164.76835870595335"
"2592","-164.77987421540314","-164.77987421540314","-164.77987421540314"
"2601","-164.55955308832932","-164.55955308832932","-164.55955308832932"
"2602","-164.5769588333999","-164.5769588333999","-164.5769588333999"
"2629","-164.07799941343873","-164.07799941343873","-164.07799941343873"
